"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.75163,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",3.915911,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",4.115158,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",4.563385,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",4.096326,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",4.40209,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",4.612154,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",4.782383,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",5.022189,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",5.563531,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",6.675746,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",6.93552,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",7.908046,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",8.538025,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",9.369577,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",9.958032,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",10.18858,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",10.38454,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",10.14356,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.15497,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",9.636939,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",10.1582,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",11.00652,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",11.99523,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",13.70504,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",15.03282,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",14.24345,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",16.1862,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",16.82814,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",17.93673,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",20.12621,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",22.24075,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",24.12276,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",24.93497,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",27.72387,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",29.82553,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",30.10327,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",33.53126,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",33.15907,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",23.93096,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",22.5161,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",22.26926,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",21.26021,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",23.25875,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",23.51128,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",23.22182,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",23.48808,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",25.81975,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",24.07319,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",25.53145,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",25.9838,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",29.42077,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",29.6447,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",30.18277,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",32.35947,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",31.41616,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",33.60344,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",33.8208,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",6.25206,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",6.370582,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",5.752918,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",5.77664,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",5.789051,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.769132,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",5.732425,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",6.276102,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",7.028275,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",7.410734,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",7.987781,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",7.001298,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",8.21387,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",9.07401,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",8.821153,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.938574,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",9.77352,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.572612,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.3907,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",2.66877,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",2.779404,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",3.181633,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",4.070405,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",4.695461,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.476207,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",6.491337,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",7.91105,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",8.116325,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",8.653355,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",9.333115,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",10.19525,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",11.36963,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",11.47268,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",11.91894,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",12.63579,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",12.53076,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",13.3247,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.86558,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",5.378721,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",4.906817,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",5.12947,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",5.498494,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",5.495465,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.621907,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",6.103922,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",5.809225,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",5.764559,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",6.524467,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",7.913097,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",8.205836,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",9.426445,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",11.41941,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",10.78575,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",12.1967,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",11.87365,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.34101,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",12.48338,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",3.32,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",3.390493,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",3.425246,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",3.466085,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",3.643756,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",6.024526,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",6.132652,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",6.910092,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",7.416918,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",9.954592,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",10.47748,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",11.12825,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",11.95353,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",13.02419,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",12.00117,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",11.98793,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",11.75297,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",11.1307,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.41176,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",77.36454,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",77.07091,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",76.89089,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",77.11619,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",75.8946,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",76.33685,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",80.2533,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",83.78673,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",86.80408,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",87.82253,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",88.45798,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",89.74625,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",89.67286,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",89.60488,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",89.09122,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",88.34466,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",87.25453,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",88.18068,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",88.70075,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",1.702652,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",1.629753,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",1.812878,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",1.672598,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",1.94711,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",2.504619,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",2.883239,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",3.189005,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",3.868407,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",4.607687,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",4.617635,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",5.837583,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",5.93033,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",6.436781,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",7.504308,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",8.07617,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",7.92442,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",9.618915,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.38431,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",5.895521,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",6.008262,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",6.282598,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",7.107815,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",7.088332,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",7.569189,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",8.29949,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",9.20593,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",10.84865,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",12.39653,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",12.58454,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",12.51779,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",14.80414,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",16.97085,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",18.06376,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",17.21846,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",17.23309,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",17.05562,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",17.72249,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",3.059783,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",2.970827,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",3.124401,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",3.431452,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",3.365134,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",3.295338,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",3.509864,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",3.427019,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",3.45606,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",3.584139,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",3.746305,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",4.074713,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",4.005489,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",4.309429,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",4.719987,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",5.17739,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",5.127401,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",5.559685,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.882878,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",0.4028529,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",0.4108678,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",0.4106652,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",0.4966659,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",0.460814,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",0.5131034,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",0.5516125,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",0.5948444,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",0.6001365,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",0.6638404,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",0.7247159,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",0.7447103,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",0.8638194,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",1.005932,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",1.465915,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",1.475728,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",1.522244,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",1.671904,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.943619,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",1.163484,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",1.13443,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",1.037968,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",1.061351,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",1.163602,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",1.618787,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",1.753172,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",3.061224,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",3.155397,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",3.154972,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",3.05181,
